"Price Quartiles and Averages for Unabsorbed Homeowner and Condominium Units by Dwelling Type and Census Subdivision for Centres 50,000+",,,,,,,,,,,,,,
"Quartiles et moyens de prix pour les propriétaires-occupants et des copropriétés non-écoulées selon la type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus",,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Single - Individuels,,,,Semi-detached - Jumelés,,,,Single and Semi-detached - Individuels et Jumelés,,,
Province,Centre,"Census Subdivision
Subdivision de recensement","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
T3","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
T3","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
Que/Qc,Gatineau,Notre-Dame-de-la-Salette (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Gatineau,Val-des-Monts (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Gatineau,Cantley (MÉ),"400,607","285,000","330,000","525,000",--,--,--,--,"400,607","285,000","330,000","525,000"
Que/Qc,Gatineau,Chelsea (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Gatineau,Pontiac (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Gatineau,La Pêche (MÉ),"264,238","200,000","250,000","290,000",--,--,--,--,"264,238","200,000","250,000","290,000"
Que/Qc,Gatineau,Denholm (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Gatineau,Total,"348,446","265,000","330,000","415,000","262,331","220,000","257,500","290,000","309,556","230,000","285,000","350,000"
Que/Qc,Québec,Saint-Henri (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Beaumont (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Saint-François-de-l'Île-d'Orléans (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Sainte-Famille (PE),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Saint-Jean-de-l'Île-d'Orléans (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Saint-Laurent-de-l'Île-d'Orléans (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Saint-Pierre-de-l'Île-d'Orléans (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Sainte-Pétronille (VL),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Château-Richer (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,L'Ange-Gardien (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Boischatel (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Sainte-Catherine-de-la-Jacques-Cartier (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Fossambault-sur-le-Lac (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Lac-Saint-Joseph (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Québec,Shannon (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
